cnpj,empresa,setor,ano_base,target,variavel,algoritmo,y_pred_2026_bi
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.4274
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.7175
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,2.7022
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,12.3293
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.1063
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,5.8126
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,11.6252
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,66.1778
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,7.6383
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,3.196
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,1.7078
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,15.4359
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,66.1778
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,10.7262
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,16.4958
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,5.9905
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,11.1397
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,4.2147
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.3843
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.6827
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,1.3655
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,11.1397
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,5.609
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,4.0195
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,6.3387
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,13.495
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,4.9275
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.5715
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.7455
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,2.0872
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,13.495
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,5.6251
16.590.234/0001-76,Arezzo,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,5.7935
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.0209
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,19.9267
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,6.059
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,1.7434
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.3405
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,3.8865
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,19.9267
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,7.1453
24.990.777/0001-09,Grupo Mateus,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,13.2756
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,7.3881
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,18.5149
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,5.9355
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.0019
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,1.2961
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,3.4338
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,18.5149
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.5085
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,7.991
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.2592
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,21.2848
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,6.1456
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,1.1792
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.0204
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,5.0307
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,21.2848
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,7.4797
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,11.8917
